Locality,Zip Code,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Garden,Swimming Pool,Surface of the Land (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url,Price/m2,Price/m2 Ratio,Price Ratio,Zip Code Score,Type of Property Score,Number of Rooms Score,Livable Space (m2) Score,Surface of the Land (m2) Score,State of the Building Score,Primary Energy Consumption (kWh/m2) Score
Grobbendonk,2280,House,villa,639000,5,260,0,0,0,0,0,0,670,0,0,0,https://www.immoweb.be/en/classified/villa/for-sale/grobbendonk/2280/20328865,2457.6923076923076,0.010199122202818094,0.19363636363636363,0.15163009404388714,1.0,0.7595340137453207,0.29623817473567055,0.14257575757575758,0.7547116896058398,0.2610471689017736
Aarsele,8700,House,house,640000,3,265,0,0,0,0,0,0,574,6,30,3,https://www.immoweb.be/en/classified/house/for-sale/aarsele/8700/20172578,2415.0943396226417,0.01002234585023138,0.19393939393939394,0.15046708463949843,1.0,0.3869261187378436,0.2675046646371403,0.14924227272727272,0.7497975974989369,0.2703655925528107
Nazareth,9810,House,house,449000,3,125,0,0,0,0,1,0,269,5,131,5,https://www.immoweb.be/en/classified/house/for-sale/nazareth/9810/20291525,3592.0,0.01490636026237226,0.13606060606060605,0.14867970822281165,1.0,0.3869261187378436,0.1360953735678185,0.12477272727272727,1.0,0.31663533834586466
Blankenberge,8370,Apartment,apartment,240000,2,86,0,1,1,0,0,0,0,5,121,3,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20309607,2790.6976744186045,0.01158105370775283,0.07272727272727272,0.11063914663880181,0.5310389297181993,0.27015323944133907,0.10632548692264886,0.11752180671513664,0.7497975974989369,0.32035923141186307
Lichtaart,2460,House,villa,790000,4,305,0,0,0,0,0,0,1900,0,0,3,https://www.immoweb.be/en/classified/villa/for-sale/lichtaart/2460/20301579,2590.1639344262294,0.010748863236403377,0.23939393939393938,0.28522167487684724,1.0,0.5711504895801999,0.41168614357262107,0.22536796536796538,0.7497975974989369,0.2610471689017736
Kraainem,1950,House,villa,845000,3,200,1,0,0,1,1,0,480,1,514,5,https://www.immoweb.be/en/classified/villa/for-sale/kraainem/1950/20279737,4225.0,0.017533232769633294,0.25606060606060604,0.37480603448275857,1.0,0.3869261187378436,0.23653576833663584,0.28273882575757575,1.0,0.29555555555555557
Antwerpen,2000,Apartment,apartment,485000,2,90,0,0,0,1,1,0,0,0,0,5,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20291501,5388.888888888889,0.022363229173628266,0.14696969696969697,0.21915138113482943,0.5310389297181993,0.27015323944133907,0.10739325429387964,0.11752180671513664,1.0,0.2610471689017736
Edegem,2650,House,villa,899000,7,370,1,0,0,1,1,0,837,5,185,0,https://www.immoweb.be/en/classified/villa/for-sale/edegem/2650/20279702,2429.7297297297296,0.010083080927491016,0.2724242424242424,0.20042166502463055,1.0,1.0,0.4041259241593131,0.18626262626262624,0.7547116896058398,0.21744360902255638
Watermael-boitsfort,1170,House,house,850000,6,284,0,0,0,1,0,0,630,1,295,2,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/20328809,2992.957746478873,0.01242040824584407,0.25757575757575757,0.23585017835909633,1.0,0.8723410353935813,0.42079699499165274,0.1968181818181818,0.7550873775720708,0.28261957066579496
Laakdal,2430,House,house,425000,5,173,0,0,0,0,0,0,750,4,290,0,https://www.immoweb.be/en/classified/house/for-sale/laakdal/2430/20301473,2456.6473988439307,0.01019478595901652,0.12878787878787878,0.15004310344827584,1.0,0.7595340137453207,0.1923741983766047,0.27024242424242423,0.7547116896058398,0.33373205741626794
